,src,dst,id,importance,explainer,edge_btw
68,0,43,0,2,0.8623064,0.008664815
176,0,45,0,2,0.8599993,0.008664815
122,0,52,0,2,0.84373164,0.008664815
16,0,42,0,2,0.8540501,0
215,1,11,0,0,0.11189727,0.017095266
213,1,45,0,1,0.13893747,0.016532459
159,1,52,0,1,0.109301336,0.016532459
105,1,43,0,1,0.13620384,0
52,2,43,0,2,0.13438597,0.008664815
160,2,45,0,2,0.12909763,0.008664815
106,2,52,0,2,0.1149109,0.008664815
0,2,42,0,2,0.121310785,0.008103673
152,3,52,0,2,0.14411059,0.008664815
206,3,45,0,2,0.1275185,0.008664815
98,3,43,0,2,0.10529383,0.008664815
46,3,42,0,2,0.12972088,0
182,4,45,0,2,0.12291093,0.008664815
74,4,43,0,2,0.121483944,0.008664815
128,4,52,0,2,0.119106464,0.008664815
22,4,42,0,2,0.13545391,0
196,5,45,0,2,0.14609441,0.008664815
142,5,52,0,2,0.13236506,0.008664815
88,5,43,0,2,0.12967856,0.008664815
36,5,42,0,2,0.12816246,0
144,6,52,0,2,0.13759732,0.008664815
198,6,45,0,2,0.12910303,0.008664815
90,6,43,0,2,0.11667541,0.008664815
38,6,42,0,2,0.12591831,0
111,7,52,0,2,0.14696966,0.008664815
57,7,43,0,2,0.14123856,0.008664815
165,7,45,0,2,0.109596536,0.008664815
5,7,42,0,2,0.14249669,0
73,8,43,0,2,0.15292104,0.008664815
181,8,45,0,2,0.14283745,0.008664815
127,8,52,0,2,0.1299531,0.008664815
21,8,42,0,2,0.13698189,0
110,9,52,0,2,0.15453015,0.008664815
164,9,45,0,2,0.14602482,0.008664815
56,9,43,0,2,0.13121285,0.008664815
4,9,42,0,2,0.12362443,0
135,10,52,0,2,0.12559134,0.008664815
189,10,45,0,2,0.12011755,0.008664815
81,10,43,0,2,0.11773408,0.008664815
29,10,42,0,2,0.13020001,0
115,12,52,0,2,0.14946643,0.008664815
169,12,45,0,2,0.13149756,0.008664815
61,12,43,0,2,0.12357682,0.008664815
9,12,42,0,2,0.1466737,0
