,src,dst,id,importance,weight,weight_positive,weight_negative,edge_weight(btw),,
215,1,11,0,0,0.11189727,0.108853176,0.11189727,0.017095266,,
214,35,11,0,0,0.12294922,0.12294922,0.112641126,0.017095266,,
213,1,45,0,1,0.13893747,0.124592654,0.13893747,0.016532459,,
159,1,52,0,1,0.109301336,0.10343668,0.109301336,0.016532459,,
212,35,45,0,1,0.13300629,0.13300629,0.11895787,0.016532459,,
158,35,52,0,1,0.13197449,0.11970753,0.13197449,0.016532459,,
68,0,43,0,2,0.8623064,0.12802336,0.8623064,0.008664815,,
176,0,45,0,2,0.8599993,0.12657483,0.8599993,0.008664815,,
122,0,52,0,2,0.84373164,0.11502321,0.84373164,0.008664815,,
52,2,43,0,2,0.13438597,0.13438597,0.11918142,0.008664815,,
160,2,45,0,2,0.12909763,0.12909763,0.12063835,0.008664815,,
106,2,52,0,2,0.1149109,0.1149109,0.11473641,0.008664815,,
152,3,52,0,2,0.14411059,0.13143402,0.14411059,0.008664815,,
206,3,45,0,2,0.1275185,0.12652336,0.1275185,0.008664815,,
98,3,43,0,2,0.10529383,0.09784715,0.10529383,0.008664815,,
182,4,45,0,2,0.12291093,0.12291093,0.109456465,0.008664815,,
74,4,43,0,2,0.121483944,0.09594915,0.121483944,0.008664815,,
128,4,52,0,2,0.119106464,0.119106464,0.106956676,0.008664815,,
196,5,45,0,2,0.14609441,0.14609441,0.13355255,0.008664815,,
142,5,52,0,2,0.13236506,0.13236506,0.11790048,0.008664815,,
88,5,43,0,2,0.12967856,0.12964736,0.12967856,0.008664815,,
144,6,52,0,2,0.13759732,0.1165503,0.13759732,0.008664815,,
198,6,45,0,2,0.12910303,0.12910303,0.11901298,0.008664815,,
90,6,43,0,2,0.11667541,0.10368411,0.11667541,0.008664815,,
111,7,52,0,2,0.14696966,0.14696966,0.114343725,0.008664815,,
57,7,43,0,2,0.14123856,0.124737665,0.14123856,0.008664815,,
165,7,45,0,2,0.109596536,0.10682634,0.109596536,0.008664815,,
73,8,43,0,2,0.15292104,0.12686327,0.15292104,0.008664815,,
181,8,45,0,2,0.14283745,0.14283745,0.11786931,0.008664815,,
127,8,52,0,2,0.1299531,0.1299531,0.12212107,0.008664815,,
110,9,52,0,2,0.15453015,0.10399154,0.15453015,0.008664815,,
164,9,45,0,2,0.14602482,0.14602482,0.11431628,0.008664815,,
56,9,43,0,2,0.13121285,0.12077658,0.13121285,0.008664815,,
135,10,52,0,2,0.12559134,0.12559134,0.105239294,0.008664815,,
189,10,45,0,2,0.12011755,0.11823683,0.12011755,0.008664815,,
81,10,43,0,2,0.11773408,0.101051584,0.11773408,0.008664815,,
115,12,52,0,2,0.14946643,0.14946643,0.12368066,0.008664815,,
169,12,45,0,2,0.13149756,0.13149756,0.12864134,0.008664815,,
61,12,43,0,2,0.12357682,0.12357682,0.12029485,0.008664815,,
207,13,45,0,2,0.15258548,0.15258548,0.12573108,0.008664815,,
153,13,52,0,2,0.13928036,0.13928036,0.12943679,0.008664815,,
99,13,43,0,2,0.12691566,0.12691566,0.118640035,0.008664815,,
126,14,52,0,2,0.1431647,0.1431647,0.14025752,0.008664815,,
72,14,43,0,2,0.13551402,0.10839662,0.13551402,0.008664815,,
180,14,45,0,2,0.12761399,0.12761399,0.1137132,0.008664815,,
79,15,43,0,2,0.14462523,0.11551723,0.14462523,0.008664815,,
133,15,52,0,2,0.1398914,0.13608143,0.1398914,0.008664815,,
187,15,45,0,2,0.13430622,0.13430622,0.13043381,0.008664815,,
190,16,45,0,2,0.15173182,0.15173182,0.11819551,0.008664815,,
82,16,43,0,2,0.14657041,0.14657041,0.12946647,0.008664815,,
136,16,52,0,2,0.122045316,0.122045316,0.11404232,0.008664815,,
195,17,45,0,2,0.13801835,0.13801835,0.1304591,0.008664815,,
141,17,52,0,2,0.13321215,0.12739277,0.13321215,0.008664815,,
87,17,43,0,2,0.12784512,0.1233822,0.12784512,0.008664815,,
199,18,45,0,2,0.14946549,0.11842651,0.14946549,0.008664815,,
91,18,43,0,2,0.14297238,0.14297238,0.09563084,0.008664815,,
145,18,52,0,2,0.117725305,0.1103105,0.117725305,0.008664815,,
124,19,52,0,2,0.1481095,0.12552042,0.1481095,0.008664815,,
178,19,45,0,2,0.14047804,0.14047804,0.12265487,0.008664815,,
70,19,43,0,2,0.13223827,0.104529,0.13223827,0.008664815,,
100,20,43,0,2,0.1553849,0.13312376,0.1553849,0.008664815,,
208,20,45,0,2,0.1509659,0.11474554,0.1509659,0.008664815,,
154,20,52,0,2,0.1461653,0.11966412,0.1461653,0.008664815,,
119,21,52,0,2,0.12930682,0.11927246,0.12930682,0.008664815,,
65,21,43,0,2,0.1263129,0.11716184,0.1263129,0.008664815,,
173,21,45,0,2,0.11422138,0.11422138,0.10438154,0.008664815,,
113,22,52,0,2,0.15021953,0.15021953,0.12131821,0.008664815,,
167,22,45,0,2,0.13990605,0.13990605,0.10568666,0.008664815,,
59,22,43,0,2,0.13397066,0.110536605,0.13397066,0.008664815,,
171,23,45,0,2,0.14830919,0.09509576,0.14830919,0.008664815,,
63,23,43,0,2,0.14176375,0.10911929,0.14176375,0.008664815,,
117,23,52,0,2,0.134404,0.111912474,0.134404,0.008664815,,
179,24,45,0,2,0.14554317,0.14554317,0.11665395,0.008664815,,
71,24,43,0,2,0.12282769,0.113869034,0.12282769,0.008664815,,
125,24,52,0,2,0.118176065,0.118176065,0.10966131,0.008664815,,
89,25,43,0,2,0.14264867,0.121324435,0.14264867,0.008664815,,
197,25,45,0,2,0.1397076,0.1397076,0.122258864,0.008664815,,
143,25,52,0,2,0.12237494,0.09841367,0.12237494,0.008664815,,
156,26,52,0,2,0.14199233,0.09384956,0.14199233,0.008664815,,
102,26,43,0,2,0.13451448,0.13451448,0.13030124,0.008664815,,
210,26,45,0,2,0.12697291,0.1159281,0.12697291,0.008664815,,
184,27,45,0,2,0.14184463,0.14184463,0.13209513,0.008664815,,
130,27,52,0,2,0.13184695,0.12538552,0.13184695,0.008664815,,
76,27,43,0,2,0.12596008,0.11431709,0.12596008,0.008664815,,
201,28,45,0,2,0.15019663,0.11138045,0.15019663,0.008664815,,
147,28,52,0,2,0.122466594,0.122466594,0.10720137,0.008664815,,
93,28,43,0,2,0.12169991,0.09573612,0.12169991,0.008664815,,
60,29,43,0,2,0.13470669,0.13470669,0.13052137,0.008664815,,
114,29,52,0,2,0.12816028,0.113330625,0.12816028,0.008664815,,
168,29,45,0,2,0.12512662,0.12512662,0.12115385,0.008664815,,
183,30,45,0,1,0.13960272,0.13960272,0.106168225,0.008664815,,
129,30,52,0,1,0.11640402,0.10577752,0.11640402,0.008664815,,
75,30,43,0,1,0.116273135,0.116273135,0.09919013,0.008664815,,
112,31,52,0,1,0.14602374,0.1210545,0.14602374,0.008664815,,
58,31,43,0,1,0.14043796,0.1326058,0.14043796,0.008664815,,
166,31,45,0,1,0.12814023,0.12814023,0.12114958,0.008664815,,
202,32,45,0,2,0.14406511,0.14406511,0.09626259,0.008664815,,
148,32,52,0,2,0.12890483,0.12890483,0.10920488,0.008664815,,
94,32,43,0,2,0.11234749,0.10877928,0.11234749,0.008664815,,
118,33,52,0,2,0.15986301,0.15986301,0.12075024,0.008664815,,
64,33,43,0,2,0.15550227,0.15550227,0.10261197,0.008664815,,
172,33,45,0,2,0.1473654,0.13408116,0.1473654,0.008664815,,
54,34,43,0,2,0.14859888,0.14859888,0.1420006,0.008664815,,
162,34,45,0,2,0.14058408,0.12939852,0.14058408,0.008664815,,
108,34,52,0,2,0.1343831,0.1343831,0.10308082,0.008664815,,
109,36,52,0,2,0.15795094,0.15795094,0.1344615,0.008664815,,
55,36,43,0,2,0.13397743,0.10276997,0.13397743,0.008664815,,
163,36,45,0,2,0.11950924,0.11876167,0.11950924,0.008664815,,
138,37,52,0,2,0.13793764,0.110122524,0.13793764,0.008664815,,
84,37,43,0,2,0.12529884,0.12529884,0.12207171,0.008664815,,
192,37,45,0,2,0.121542916,0.11614475,0.121542916,0.008664815,,
194,38,45,0,2,0.13896994,0.13322659,0.13896994,0.008664815,,
140,38,52,0,2,0.12850106,0.11711136,0.12850106,0.008664815,,
86,38,43,0,2,0.11030049,0.09906381,0.11030049,0.008664815,,
53,39,43,0,2,0.13713764,0.13713764,0.116948456,0.008664815,,
107,39,52,0,2,0.13395073,0.11061865,0.13395073,0.008664815,,
161,39,45,0,2,0.11575059,0.11575059,0.11064382,0.008664815,,
146,40,52,0,2,0.15057325,0.15057325,0.1338704,0.008664815,,
200,40,45,0,2,0.14118335,0.14118335,0.09953231,0.008664815,,
92,40,43,0,2,0.12844262,0.12844262,0.11639823,0.008664815,,
185,41,45,0,2,0.14927053,0.13540258,0.14927053,0.008664815,,
77,41,43,0,2,0.13392876,0.13392876,0.12060513,0.008664815,,
131,41,52,0,2,0.12892036,0.12159715,0.12892036,0.008664815,,
155,44,52,0,2,0.12791026,0.11735986,0.12791026,0.008664815,,
209,44,45,0,2,0.123611376,0.123611376,0.11076731,0.008664815,,
101,44,43,0,2,0.12007759,0.11369219,0.12007759,0.008664815,,
134,46,52,0,2,0.13476954,0.13470203,0.13476954,0.008664815,,
188,46,45,0,2,0.12408699,0.1129019,0.12408699,0.008664815,,
80,46,43,0,2,0.120816745,0.116379224,0.120816745,0.008664815,,
211,47,45,0,2,0.13794722,0.13794722,0.13687004,0.008664815,,
157,47,52,0,2,0.13551553,0.115770996,0.13551553,0.008664815,,
103,47,43,0,2,0.1261895,0.1261895,0.108858235,0.008664815,,
191,48,45,0,2,0.14755653,0.14755653,0.10823657,0.008664815,,
137,48,52,0,2,0.12526496,0.12526496,0.1147064,0.008664815,,
83,48,43,0,2,0.112146325,0.112146325,0.10731773,0.008664815,,
203,49,45,0,2,0.14851046,0.14851046,0.12902552,0.008664815,,
95,49,43,0,2,0.13947776,0.13947776,0.124909945,0.008664815,,
149,49,52,0,2,0.123269446,0.11477021,0.123269446,0.008664815,,
97,50,43,0,2,0.14809427,0.14809427,0.110283345,0.008664815,,
151,50,52,0,2,0.13954282,0.09736743,0.13954282,0.008664815,,
205,50,45,0,2,0.13712366,0.13712366,0.12519778,0.008664815,,
174,51,45,0,2,0.13956459,0.111994445,0.13956459,0.008664815,,
66,51,43,0,2,0.13617107,0.12529625,0.13617107,0.008664815,,
120,51,52,0,2,0.1179566,0.112595186,0.1179566,0.008664815,,
67,53,43,0,2,0.13275631,0.11138952,0.13275631,0.008664815,,
175,53,45,0,2,0.13088633,0.13088633,0.121200524,0.008664815,,
121,53,52,0,2,0.115963824,0.115963824,0.1106342,0.008664815,,
116,54,52,0,2,0.13542365,0.13542365,0.1295326,0.008664815,,
62,54,43,0,2,0.13377473,0.13377473,0.13310024,0.008664815,,
170,54,45,0,2,0.1260269,0.12595028,0.1260269,0.008664815,,
85,55,43,0,2,0.15099989,0.1169812,0.15099989,0.008664815,,
139,55,52,0,2,0.12308397,0.12308397,0.12304827,0.008664815,,
193,55,45,0,2,0.111966394,0.10130916,0.111966394,0.008664815,,
69,56,43,0,2,0.16197607,0.16197607,0.13164088,0.008664815,,
177,56,45,0,2,0.12685373,0.12685373,0.121577725,0.008664815,,
123,56,52,0,2,0.12452293,0.12452293,0.12141179,0.008664815,,
96,57,43,0,2,0.15669063,0.15669063,0.12981041,0.008664815,,
204,57,45,0,2,0.14864504,0.10796528,0.14864504,0.008664815,,
150,57,52,0,2,0.12042872,0.12042872,0.107260615,0.008664815,,
132,58,52,0,2,0.13703783,0.13129768,0.13703783,0.008664815,,
78,58,43,0,2,0.12582536,0.12381632,0.12582536,0.008664815,,
186,58,45,0,2,0.118358225,0.10933312,0.118358225,0.008664815,,
0,2,42,0,2,0.121310785,0.1040209,0.121310785,0.008103673,,
16,0,42,0,2,0.8540501,0.115603924,0.8540501,0,,
105,1,43,0,1,0.13620384,0.13620384,0.11197384,0,,
46,3,42,0,2,0.12972088,0.12972088,0.114320576,0,,
22,4,42,0,2,0.13545391,0.12872732,0.13545391,0,,
36,5,42,0,2,0.12816246,0.12816246,0.111824885,0,,
38,6,42,0,2,0.12591831,0.119618304,0.12591831,0,,
5,7,42,0,2,0.14249669,0.11715975,0.14249669,0,,
21,8,42,0,2,0.13698189,0.113862544,0.13698189,0,,
4,9,42,0,2,0.12362443,0.12224682,0.12362443,0,,
29,10,42,0,2,0.13020001,0.13020001,0.1195142,0,,
9,12,42,0,2,0.1466737,0.1466737,0.115324825,0,,
47,13,42,0,2,0.14150582,0.14150582,0.14024803,0,,
20,14,42,0,2,0.15326878,0.12120853,0.15326878,0,,
27,15,42,0,2,0.1392388,0.1392388,0.1249756,0,,
30,16,42,0,2,0.1409375,0.120133474,0.1409375,0,,
35,17,42,0,2,0.13607623,0.13607623,0.11123401,0,,
39,18,42,0,2,0.1235825,0.10427432,0.1235825,0,,
18,19,42,0,2,0.11056809,0.10907168,0.11056809,0,,
48,20,42,0,2,0.11853577,0.11475983,0.11853577,0,,
13,21,42,0,2,0.104522906,0.10336656,0.104522906,0,,
7,22,42,0,2,0.15943666,0.08553048,0.15943666,0,,
11,23,42,0,2,0.14129877,0.11819681,0.14129877,0,,
19,24,42,0,2,0.13471399,0.13471399,0.123415545,0,,
37,25,42,0,2,0.12966534,0.1281603,0.12966534,0,,
50,26,42,0,2,0.13659854,0.12911877,0.13659854,0,,
24,27,42,0,2,0.1353809,0.1353809,0.10681777,0,,
41,28,42,0,2,0.12024636,0.12024636,0.11243367,0,,
8,29,42,0,2,0.115878776,0.10854801,0.115878776,0,,
23,30,42,0,1,0.12600327,0.11049118,0.12600327,0,,
6,31,42,0,1,0.14086175,0.13784702,0.14086175,0,,
42,32,42,0,2,0.1309448,0.115760274,0.1309448,0,,
12,33,42,0,2,0.12363796,0.12363796,0.10046564,0,,
2,34,42,0,2,0.12203231,0.09837023,0.12203231,0,,
