,src,dst,id,importance,weight,weight_positive,weight_negative,edge_weight
0,2,42,0,2.0,0.121310785,0.10402089999999999,0.121310785,0.009957399245725635
1,39,42,0,2.0,0.12057068,0.10690652,0.12057068,0.009957399245723605
2,34,42,0,2.0,0.12203231,0.09837023,0.12203231,0.009957399245724982
3,36,42,0,2.0,0.11959457,0.11959457,0.1140527,0.009957399245725161
4,9,42,0,2.0,0.12362443,0.12224682,0.12362443,0.009957399245723916
5,7,42,0,2.0,0.14249669,0.11715975,0.14249669,0.009957399245724953
6,31,42,0,1.0,0.14086175,0.13784702,0.14086175,0.00995739924572579
7,22,42,0,2.0,0.15943666,0.08553048,0.15943666,0.009957399245725784
8,29,42,0,2.0,0.115878776,0.10854801,0.115878776,0.009957399245724405
9,12,42,0,2.0,0.14667370000000002,0.14667370000000002,0.115324825,0.009957399245725355
10,54,42,0,2.0,0.12439565,0.10612528,0.12439565,0.0
11,23,42,0,2.0,0.14129877,0.11819681,0.14129877,0.009957399245727975
12,33,42,0,2.0,0.12363796,0.12363796,0.10046564,0.00995739924572413
13,21,42,0,2.0,0.104522906,0.10336656,0.104522906,0.009957399245725734
14,51,42,0,2.0,0.1324546,0.1324546,0.1285792,0.0
15,53,42,0,2.0,0.14409673,0.14236717,0.14409673,0.0
16,0,42,0,2.0,0.8540501,0.115603924,0.8540501,0.009957399245723982
17,56,42,0,2.0,0.122540414,0.122540414,0.11015710000000001,0.0
18,19,42,0,2.0,0.11056809,0.10907168,0.11056809,0.009957399245724459
19,24,42,0,2.0,0.13471399,0.13471399,0.123415545,0.009957399245725168
20,14,42,0,2.0,0.15326878,0.12120853,0.15326878,0.00995739924572503
21,8,42,0,2.0,0.13698189,0.11386254400000001,0.13698189,0.009957399245727146
22,4,42,0,2.0,0.13545391,0.12872732,0.13545391,0.009957399245724911
23,30,42,0,1.0,0.12600327,0.11049118,0.12600327,0.00995739924572522
24,27,42,0,2.0,0.1353809,0.1353809,0.10681777,0.009957399245724767
