,top5,top10,top15,top20,top25,top30,top35,top40,top45,top50
all,0.45175609756097557,0.7080975609756097,0.8232357723577236,0.8984634146341465,0.9238048780487804,0.9272682926829269,0.9247177700348433,0.9181219512195122,0.9099566395663958,0.9120146341463415
comm0,0.4886086956521738,0.791695652173913,0.890376811594203,0.9633043478260869,1.0,0.9985507246376811,0.9925465838509318,0.9826086956521738,0.9700483091787441,0.96
comm1,0.4046666666666667,0.6012777777777778,0.7374444444444443,0.8156111111111112,0.8264444444444444,0.8361851851851853,0.838047619047619,0.8357222222222223,0.8331728395061728,0.8506999999999999
0,0.012000000000000002,0.045,0.06733333333333333,0.08950000000000001,0.1216,0.1433333333333333,0.1571428571428571,0.18074999999999997,0.20911111111111108,0.23640000000000005
1,0.0,0.05699999999999998,0.12066666666666664,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.028000000000000004,0.067,0.10533333333333332,0.149,0.18719999999999998,0.23199999999999998,0.27485714285714286,0.306,0.3435555555555556,0.37799999999999995
4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.16599999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.042,0.077,0.15666666666666662,0.15600000000000003,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.066,0.107,0.1513333333333333,0.19999999999999996,0.2444,0.28666666666666674,0.3291428571428571,0.38249999999999995,0.43333333333333335,0.4782
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.16799999999999998,0.247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.102,0.15200000000000002,0.20133333333333328,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.064,0.131,0.18866666666666665,0.2425,0.32280000000000003,0.38933333333333336,0.43800000000000006,0.52375,0.5444444444444444,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.35400000000000004,0.6759999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.17399999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.0,0.09199999999999997,0.20133333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0.11399999999999999,0.38099999999999995,0.5599999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9000000000000005
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.8444444444444446,0.7600000000000001
37,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.925,0.8222222222222223,0.7399999999999999
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7777777777777776,0.7000000000000002
39,1.0,1.0,1.0,1.0,1.0,1.0,0.885714285714286,0.7750000000000005,0.6888888888888887,0.6199999999999999
40,0.23199999999999998,1.0,1.0,1.0,1.0,0.9666666666666667,0.8285714285714283,0.7249999999999995,0.6444444444444446,0.58
