node_id,community_id,node_type_mask,label,is_target,importance_annotator1,importance_annotator2,importance_annotator3,importance_annotator4,importance_annotator5
0,0,link,1,0,2,,2,,
1,0,link,0,0,0,,0,,
2,0,link,1,0,2,,2,,
3,0,link,1,0,2,,2,,
4,0,link,1,0,2,,2,,
5,0,link,1,0,2,,2,,
6,0,link,1,0,2,,2,,
7,0,link,1,0,2,,2,,
8,0,link,1,0,2,,2,,
9,0,link,1,0,2,,2,,
10,0,link,1,0,2,,2,,
11,0,entity_0,1,0,0,,0,,
12,0,link,1,0,2,,2,,
13,0,link,1,0,2,,2,,
14,0,link,1,0,2,,2,,
15,0,link,1,0,2,,2,,
16,0,link,1,0,2,,2,,
17,0,link,1,0,2,,2,,
18,0,link,1,0,2,,2,,
19,0,link,1,1,2,,2,,
20,0,link,1,0,2,,2,,
21,0,link,1,0,2,,2,,
22,0,link,1,0,2,,2,,
23,0,link,1,0,2,,2,,
24,0,link,1,0,2,,2,,
25,0,link,1,0,2,,2,,
26,0,link,1,0,2,,2,,
27,0,link,1,0,2,,2,,
28,0,link,1,0,2,,2,,
29,0,link,1,0,2,,2,,
30,0,link,0,0,0,,0,,
31,0,link,0,0,0,,0,,
32,0,link,1,0,2,,2,,
33,0,link,1,0,2,,2,,
34,0,link,1,0,2,,2,,
35,0,link,0,0,0,,0,,
36,0,link,1,0,2,,2,,
37,0,link,1,0,2,,2,,
38,0,link,1,0,2,,2,,
39,0,link,1,0,2,,2,,
40,0,link,1,0,2,,2,,
41,0,link,1,0,2,,2,,
42,0,entity_0,,0,2,,2,,
43,0,entity_1,,0,2,,2,,
44,0,link,1,0,2,,2,,
45,0,entity_2,,0,2,,2,,
46,0,link,1,0,2,,2,,
47,0,link,1,0,2,,2,,
48,0,link,1,0,2,,2,,
49,0,link,1,0,2,,2,,
50,0,link,1,0,2,,2,,
51,0,link,1,0,2,,2,,
52,0,node,,0,2,,2,,
53,0,link,1,0,2,,2,,
54,0,link,1,0,2,,2,,
55,0,link,1,0,2,,2,,
56,0,link,1,0,2,,2,,
57,0,link,1,0,2,,2,,
58,0,link,1,0,2,,2,,
0,1,link,1,0,0,,0,,
1,1,link,1,0,0,,0,,
2,1,link,0,0,2,,2,,
3,1,link,1,0,0,,0,,
4,1,link,1,0,0,,0,,
5,1,link,1,0,0,,0,,
6,1,entity_2,,0,2,,2,,
7,1,entity_2,,0,0,,0,,
8,1,entity_0,,0,2,,2,,
9,1,link,0,0,2,,2,,
10,1,link,1,0,0,,0,,
11,1,link,1,0,0,,0,,
12,1,link,1,0,0,,0,,
13,1,link,1,0,0,,0,,
14,1,link,1,0,0,,0,,
15,1,link,1,0,0,,0,,
16,1,link,1,0,0,,0,,
17,1,link,1,0,0,,0,,
18,1,link,1,0,0,,0,,
19,1,link,1,0,0,,0,,
20,1,link,1,0,0,,0,,
21,1,link,0,0,2,,2,,
22,1,link,1,0,0,,0,,
23,1,link,1,0,0,,0,,
24,1,link,1,0,0,,0,,
25,1,link,1,0,0,,0,,
26,1,link,1,0,0,,0,,
27,1,entity_1,,0,2,,2,,
28,1,link,1,0,0,,0,,
29,1,link,1,0,0,,0,,
30,1,link,1,0,0,,0,,
31,1,link,1,0,0,,0,,
32,1,link,1,0,0,,0,,
33,1,link,1,0,0,,0,,
