src,dst,id,edge_weight,edge_importance
2,42,0,0.1040209,2
39,42,0,0.10690652,2
34,42,0,0.09837023,2
36,42,0,0.11959457,2
9,42,0,0.12224682,2
7,42,0,0.11715975,2
31,42,0,0.13784702,1
22,42,0,0.08553048,2
29,42,0,0.10854801,2
12,42,0,0.1466737,2
54,42,0,0.10612528,2
23,42,0,0.11819681,2
33,42,0,0.12363796,2
21,42,0,0.10336656,2
51,42,0,0.1324546,2
53,42,0,0.14236717,2
0,42,0,0.115603924,2
56,42,0,0.122540414,2
19,42,0,0.10907168,2
24,42,0,0.13471399,2
14,42,0,0.12120853,2
8,42,0,0.113862544,2
4,42,0,0.12872732,2
30,42,0,0.11049118,1
27,42,0,0.1353809,2
41,42,0,0.12230851,2
58,42,0,0.124548756,2
15,42,0,0.1392388,2
46,42,0,0.11701622,2
10,42,0,0.13020001,2
16,42,0,0.120133474,2
48,42,0,0.10572974,2
37,42,0,0.1029012,2
55,42,0,0.11522909,2
38,42,0,0.11183077,2
17,42,0,0.13607623,2
5,42,0,0.12816246,2
25,42,0,0.1281603,2
6,42,0,0.119618304,2
18,42,0,0.10427432,2
40,42,0,0.12831187,2
28,42,0,0.12024636,2
32,42,0,0.115760274,2
49,42,0,0.13549092,2
57,42,0,0.109519035,2
50,42,0,0.119693585,2
3,42,0,0.12972088,2
13,42,0,0.14150582,2
20,42,0,0.11475983,2
44,42,0,0.10498756,2
26,42,0,0.12911877,2
47,42,0,0.121216,2
35,11,0,0.12294922,1
1,11,0,0.108853176,1
2,43,0,0.13438597,1
39,43,0,0.13713764,1
34,43,0,0.14859888,1
36,43,0,0.10276997,1
9,43,0,0.12077658,1
7,43,0,0.124737665,1
31,43,0,0.1326058,0
22,43,0,0.110536605,1
29,43,0,0.13470669,1
12,43,0,0.12357682,1
54,43,0,0.13377473,1
23,43,0,0.10911929,1
33,43,0,0.15550227,1
21,43,0,0.11716184,1
51,43,0,0.12529625,1
53,43,0,0.11138952,1
0,43,0,0.12802336,1
56,43,0,0.16197607,1
19,43,0,0.104529,1
24,43,0,0.113869034,1
14,43,0,0.10839662,1
8,43,0,0.12686327,1
4,43,0,0.09594915,1
30,43,0,0.116273135,0
27,43,0,0.11431709,1
41,43,0,0.13392876,1
58,43,0,0.12381632,1
15,43,0,0.11551723,1
46,43,0,0.116379224,1
10,43,0,0.101051584,1
16,43,0,0.14657041,1
48,43,0,0.112146325,1
37,43,0,0.12529884,1
55,43,0,0.1169812,1
38,43,0,0.09906381,1
17,43,0,0.1233822,1
5,43,0,0.12964736,1
25,43,0,0.121324435,1
6,43,0,0.10368411,1
18,43,0,0.14297238,1
40,43,0,0.12844262,1
28,43,0,0.09573612,1
32,43,0,0.10877928,1
49,43,0,0.13947776,1
57,43,0,0.15669063,1
50,43,0,0.14809427,1
3,43,0,0.09784715,1
13,43,0,0.12691566,1
20,43,0,0.13312376,1
44,43,0,0.11369219,1
26,43,0,0.13451448,1
47,43,0,0.1261895,1
35,43,0,0.12868968,0
1,43,0,0.13620384,0
2,52,0,0.1149109,2
39,52,0,0.11061865,2
34,52,0,0.1343831,2
36,52,0,0.15795094,2
9,52,0,0.10399154,2
7,52,0,0.14696966,2
31,52,0,0.1210545,1
22,52,0,0.15021953,2
29,52,0,0.113330625,2
12,52,0,0.14946643,2
54,52,0,0.13542365,2
23,52,0,0.111912474,2
33,52,0,0.15986301,2
21,52,0,0.11927246,2
51,52,0,0.112595186,2
53,52,0,0.115963824,2
0,52,0,0.11502321,2
56,52,0,0.12452293,2
19,52,0,0.12552042,2
24,52,0,0.118176065,2
14,52,0,0.1431647,2
8,52,0,0.1299531,2
4,52,0,0.119106464,2
30,52,0,0.10577752,1
27,52,0,0.12538552,2
41,52,0,0.12159715,2
58,52,0,0.13129768,2
15,52,0,0.13608143,2
46,52,0,0.13470203,2
10,52,0,0.12559134,2
16,52,0,0.122045316,2
48,52,0,0.12526496,2
37,52,0,0.110122524,2
55,52,0,0.12308397,2
38,52,0,0.11711136,2
17,52,0,0.12739277,2
5,52,0,0.13236506,2
25,52,0,0.09841367,2
6,52,0,0.1165503,2
18,52,0,0.1103105,2
40,52,0,0.15057325,2
28,52,0,0.122466594,2
32,52,0,0.12890483,2
49,52,0,0.11477021,2
57,52,0,0.12042872,2
50,52,0,0.09736743,2
3,52,0,0.13143402,2
13,52,0,0.13928036,2
20,52,0,0.11966412,2
44,52,0,0.11735986,2
26,52,0,0.09384956,2
47,52,0,0.115770996,2
35,52,0,0.11970753,1
1,52,0,0.10343668,1
2,45,0,0.12909763,2
39,45,0,0.11575059,2
34,45,0,0.12939852,2
36,45,0,0.11876167,2
9,45,0,0.14602482,2
7,45,0,0.10682634,2
31,45,0,0.12814023,1
22,45,0,0.13990605,2
29,45,0,0.12512662,2
12,45,0,0.13149756,2
54,45,0,0.12595028,2
23,45,0,0.09509576,2
33,45,0,0.13408116,2
21,45,0,0.11422138,2
51,45,0,0.111994445,2
53,45,0,0.13088633,2
0,45,0,0.12657483,2
56,45,0,0.12685373,2
19,45,0,0.14047804,2
24,45,0,0.14554317,2
14,45,0,0.12761399,2
8,45,0,0.14283745,2
4,45,0,0.12291093,2
30,45,0,0.13960272,1
27,45,0,0.14184463,2
41,45,0,0.13540258,2
58,45,0,0.10933312,2
15,45,0,0.13430622,2
46,45,0,0.1129019,2
10,45,0,0.11823683,2
16,45,0,0.15173182,2
48,45,0,0.14755653,2
37,45,0,0.11614475,2
55,45,0,0.10130916,2
38,45,0,0.13322659,2
17,45,0,0.13801835,2
5,45,0,0.14609441,2
25,45,0,0.1397076,2
6,45,0,0.12910303,2
18,45,0,0.11842651,2
40,45,0,0.14118335,2
28,45,0,0.11138045,2
32,45,0,0.14406511,2
49,45,0,0.14851046,2
57,45,0,0.10796528,2
50,45,0,0.13712366,2
3,45,0,0.12652336,2
13,45,0,0.15258548,2
20,45,0,0.11474554,2
44,45,0,0.123611376,2
26,45,0,0.1159281,2
47,45,0,0.13794722,2
35,45,0,0.13300629,1
1,45,0,0.124592654,1
42,2,0,0.121310785,2
42,39,0,0.12057068,2
42,34,0,0.12203231,2
42,36,0,0.1140527,2
42,9,0,0.12362443,2
42,7,0,0.14249669,2
42,31,0,0.14086175,1
42,22,0,0.15943666,2
42,29,0,0.115878776,2
42,12,0,0.115324825,2
42,54,0,0.12439565,2
42,23,0,0.14129877,2
42,33,0,0.10046564,2
42,21,0,0.104522906,2
42,51,0,0.1285792,2
42,53,0,0.14409673,2
42,0,0,0.8540501,2
42,56,0,0.1101571,2
42,19,0,0.11056809,2
42,24,0,0.123415545,2
42,14,0,0.15326878,2
42,8,0,0.13698189,2
42,4,0,0.13545391,2
42,30,0,0.12600327,1
42,27,0,0.10681777,2
42,41,0,0.13802357,2
42,58,0,0.13302335,2
42,15,0,0.1249756,2
42,46,0,0.13814633,2
42,10,0,0.1195142,2
42,16,0,0.1409375,2
42,48,0,0.11894216,2
42,37,0,0.12448819,2
42,55,0,0.13581197,2
