seed,id,y,yhat
19,0,1.0,0.35288006067276
39,1,0.0,0.9718876481056213
18,2,1.0,0.936662495136261
36,3,1.0,0.992669939994812
57,4,1.0,0.017501799389719963
36,5,1.0,0.9874075651168823
31,6,1.0,0.004570903722196817
35,7,0.0,0.0014730771072208881
43,8,0.0,0.002970814937725663
10,9,0.0,0.03816115856170654
26,10,0.0,0.7680683732032776
22,11,1.0,0.9969964027404785
27,12,1.0,0.7064741849899292
23,13,0.0,0.5613763928413391
17,14,0.0,0.0004929180722683668
14,15,0.0,0.0013736375840380788
27,16,0.0,0.9384774565696716
54,17,0.0,6.385044252965599e-05
35,18,0.0,0.00012606073869392276
53,19,0.0,0.00019081952632404864
9,20,0.0,0.968518078327179
35,21,0.0,0.0019232678459957242
42,22,1.0,0.01941075176000595
7,23,1.0,0.9878204464912415
36,24,1.0,0.020052822306752205
1,25,1.0,0.06987357139587402
29,26,1.0,0.578853964805603
2,27,0.0,0.001524421270005405
15,28,0.0,0.08412306010723114
17,29,0.0,0.11110176146030426
23,30,0.0,0.000299841514788568
0,31,0.0,0.6855373382568359
12,32,0.0,0.0018709341529756784
7,33,1.0,0.992182195186615
22,34,1.0,0.9934278130531311
21,35,1.0,0.23426994681358337
7,36,0.0,0.011321542784571648
15,37,0.0,0.000702582357916981
6,38,1.0,0.41098082065582275
13,39,1.0,0.9877504706382751
1,40,0.0,0.0006940302555449307
